lon,lat
75,60
77.15,60
79.3,60
81.45,60
83.6,60
85.75,60
87.9,60
90.05,60
92.2,60
94.35,60
96.5,60
98.65,60
100.8,60
102.95,60
105.1,60
107.25,60
109.4,60
111.55,60
113.69999999999999,60
115.85,60
118,60
120.15,60
122.3,60
124.44999999999999,60
126.6,60
128.75,60
130.9,60
133.05,60
75,62.15
77.15,62.15
79.3,62.15
81.45,62.15
83.6,62.15
85.75,62.15
87.9,62.15
90.05,62.15
92.2,62.15
94.35,62.15
96.5,62.15
98.65,62.15
100.8,62.15
102.95,62.15
105.1,62.15
107.25,62.15
109.4,62.15
111.55,62.15
113.69999999999999,62.15
115.85,62.15
118,62.15
120.15,62.15
122.3,62.15
124.44999999999999,62.15
126.6,62.15
128.75,62.15
130.9,62.15
133.05,62.15
75,64.3
77.15,64.3
79.3,64.3
81.45,64.3
83.6,64.3
85.75,64.3
87.9,64.3
90.05,64.3
92.2,64.3
94.35,64.3
96.5,64.3
98.65,64.3
100.8,64.3
102.95,64.3
105.1,64.3
107.25,64.3
109.4,64.3
111.55,64.3
113.69999999999999,64.3
115.85,64.3
118,64.3
120.15,64.3
122.3,64.3
124.44999999999999,64.3
126.6,64.3
128.75,64.3
130.9,64.3
133.05,64.3
75,66.45
77.15,66.45
79.3,66.45
81.45,66.45
83.6,66.45
85.75,66.45
87.9,66.45
90.05,66.45
92.2,66.45
94.35,66.45
96.5,66.45
98.65,66.45
100.8,66.45
102.95,66.45
105.1,66.45
107.25,66.45
109.4,66.45
111.55,66.45
113.69999999999999,66.45
115.85,66.45
118,66.45
120.15,66.45
122.3,66.45
124.44999999999999,66.45
126.6,66.45
128.75,66.45
130.9,66.45
133.05,66.45
75,68.6
77.15,68.6
79.3,68.6
81.45,68.6
83.6,68.6
85.75,68.6
87.9,68.6
90.05,68.6
92.2,68.6
94.35,68.6
96.5,68.6
98.65,68.6
100.8,68.6
102.95,68.6
105.1,68.6
107.25,68.6
109.4,68.6
111.55,68.6
113.69999999999999,68.6
115.85,68.6
118,68.6
120.15,68.6
122.3,68.6
124.44999999999999,68.6
126.6,68.6
128.75,68.6
130.9,68.6
133.05,68.6
75,70.75
77.15,70.75
79.3,70.75
81.45,70.75
83.6,70.75
85.75,70.75
87.9,70.75
90.05,70.75
92.2,70.75
94.35,70.75
96.5,70.75
98.65,70.75
100.8,70.75
102.95,70.75
105.1,70.75
107.25,70.75
109.4,70.75
111.55,70.75
113.69999999999999,70.75
115.85,70.75
118,70.75
120.15,70.75
122.3,70.75
124.44999999999999,70.75
126.6,70.75
128.75,70.75
130.9,70.75
133.05,70.75
79.3,72.9
81.45,72.9
83.6,72.9
85.75,72.9
87.9,72.9
90.05,72.9
92.2,72.9
94.35,72.9
96.5,72.9
98.65,72.9
100.8,72.9
102.95,72.9
105.1,72.9
107.25,72.9
109.4,72.9
111.55,72.9
113.69999999999999,72.9
115.85,72.9
118,72.9
120.15,72.9
122.3,72.9
124.44999999999999,72.9
126.6,72.9
87.9,75.05
90.05,75.05
92.2,75.05
94.35,75.05
96.5,75.05
98.65,75.05
100.8,75.05
102.95,75.05
105.1,75.05
107.25,75.05
109.4,75.05
111.55,75.05
96.5,77.2
102.95,77.2
105.1,77.2
94.35,79.35
96.5,79.35
98.65,79.35
