x,y,lon,lat,t,V_MAT,V_CVI,V_LOS,V_EOS,V_SOS
3351.1034694392906,9591.556149984532,94.25,70.75,1,14.061603546142578,-2.2408106327056885,-4.447215557098389,-16.160686492919922,-0.11267927289009094
5053.609244131693,10081.219404067095,114.25,61.25,1,19.70097541809082,0.9520769119262695,4.62204647064209,11.547722816467285,-0.7479108572006226
4210.5842006390985,9365.033218369268,95.75,65.75,1,-5.560355186462402,-6.999426364898682,-9.210264205932617,1.109451413154602,-12.24563217163086
4008.730953605155,10379.392365377806,116.25,66.75,1,18.670690536499023,9.222010612487793,10.510074615478516,5.598419666290283,16.567808151245117
4396.696989148424,8574.161914588047,82.75,62.75,1,-20.605016708374023,1.7985531091690063,-13.075433731079102,-19.890913009643555,-11.350052833557129
4928.71743367632,10546.415221895912,121.75,61.25,1,13.438138961791992,-4.440834045410156,-9.476412773132324,0.873745322227478,-14.638696670532227
4971.68714453174,9097.6956323839,96.75,61.25,1,10.719857215881348,13.979097366333008,-2.948688268661499,-3.941563844680786,-1.6008222103118896
3691.5127608153316,9036.731844532718,84.25,67.75,1,-24.314231872558594,-7.467326641082764,-13.349248886108398,-13.862974166870117,-12.858346939086914
5074.461946696444,9901.340817691425,111.25,61.25,1,27.02832794189453,-7.968005657196045,4.665363788604736,21.48582649230957,0.27623963356018066
3624.2706013840716,10659.771489858436,121.75,68.25,1,4.5781354904174805,-3.8029162883758545,-0.8172441124916077,-1.156489610671997,-0.032849133014678955
3034.9987275043127,10371.519998227399,114.25,72.25,1,-0.2839345633983612,-3.063298225402832,-5.363857746124268,-0.826744019985199,-9.95398235321045
4892.115106896925,9589.53696222893,104.75,62.25,1,14.518471717834473,2.821692943572998,1.5089120864868164,-6.577225685119629,2.146862030029297
3774.778997512418,10874.107021866843,126.25,66.75,1,14.210671424865723,-0.05640717223286629,-0.03175349533557892,0.2364274114370346,0.12501907348632813
3502.997415691611,10865.903598794264,126.25,68.25,1,5.5692877769470215,0.0963844433426857,0.13160090148448944,-1.5261287689208984,0.4080869257450104
3282.2490600303927,11037.682284974535,130.25,68.75,1,-7.798648357391357,0.0037721784319728613,-0.19999852776527405,-0.012235303409397602,-0.6707078218460083
2969.291710482747,11063.42702400206,131.75,70.25,1,-0.7155886292457581,5.866998672485352,4.214372634887695,0.6345641016960144,12.303596496582031
3546.177941288476,10093.746759365777,108.25,69.75,1,-5.613171100616455,-2.879286527633667,0.6292093396186829,7.113492488861084,-4.8419508934021
3817.7331722172376,9680.274105142598,99.75,68.25,1,-1.4588733911514282,-0.463923841714859,-1.1748403310775757,3.2155752182006836,-1.303033709526062
3059.656611839835,10692.202667219006,122.75,71.25,1,5.75933313369751,0.14416809380054474,0.010350758209824562,0.023763516917824745,-0.05524001270532608
