lon,lat
75,60
78,60
81,60
84,60
87,60
90,60
93,60
96,60
99,60
102,60
105,60
108,60
111,60
114,60
117,60
120,60
123,60
126,60
129,60
132,60
135,60
75,63
78,63
81,63
84,63
87,63
90,63
93,63
96,63
99,63
102,63
105,63
108,63
111,63
114,63
117,63
120,63
123,63
126,63
129,63
132,63
135,63
75,66
78,66
81,66
84,66
87,66
90,66
93,66
96,66
99,66
102,66
105,66
108,66
111,66
114,66
117,66
120,66
123,66
126,66
129,66
132,66
135,66
78,69
81,69
84,69
87,69
90,69
93,69
96,69
99,69
102,69
105,69
108,69
111,69
114,69
117,69
120,69
123,69
126,69
129,69
132,69
135,69
75,72
84,72
87,72
90,72
93,72
96,72
99,72
102,72
105,72
108,72
111,72
114,72
117,72
120,72
123,72
126,72
90,75
93,75
96,75
99,75
102,75
105,75
108,75
111,75
96,81
