lon,lat
4482.934607040621,8006.585109722056
4572.180552434763,8091.022801645561
4657.468060020537,8178.424891027164
4738.592847269604,8268.819421513268
4815.342036645172,8362.230920773365
4887.493931775785,8458.679720855826
4954.817829788068,8558.181206695645
5017.073878809845,8660.74498772001
5074.01299099887,8766.373987651516
5125.376822921029,8875.063447914972
5170.897836690492,8986.799840548172
5210.299456981316,9101.559687241499
5243.296340807232,9219.308282133423
5269.594778813926,9339.99831732015
5288.8932486957265,9463.568411755032
5300.883143179368,9589.941546375974
5305.249696737818,9719.023410968282
5301.673136712632,9850.700671504728
5289.830085715881,9984.839170559042
5269.3952429094525,10121.282077905698
5240.043371849682,10259.848013625162
5201.451621841263,10400.329171930058
5153.302207942736,10542.489480481261
5095.285471661541,10686.062837094043
5027.103339710755,10830.751473306607
4948.473191711246,10976.224502090312
4859.132139165743,11122.116714733022
4758.841707195697,11268.027699245966
4209.048842810751,8214.824754574698
4290.180514360087,8296.27150762442
4367.392616113368,8380.446789569416
4440.493431348169,8467.363511705145
4509.28422541218,8557.030477451653
4573.559159817872,8649.451739066963
4633.105249710051,8744.62589573518
4687.702373020053,8842.54533012683
4737.123340644486,8943.195380895555
4781.134038070442,9046.553449089095
4819.4936500003305,9152.588037139945
4851.954980689222,9261.25771999266
4878.26488387122,9372.5100490522509
4898.16481728462,9486.280391035169
4911.391537865936,9602.490705504633
4917.67795461564,9721.048266908849
4916.754156877132,9841.844339343143
4908.348636234939,9964.75281505045
4892.18972033374,10089.628830873044
4868.007236537823,10216.307380475715
4835.534422368014,10344.601944160782
4794.510097935691,10474.303162451282
4744.681112997663,10605.17758426323
4685.8050776355585,10736.966525319665
4617.6533807765,10869.385077336057
4540.014494690444,11002.121313238558
4452.697556123777,11134.835738026199
4355.5362057996235,11267.161038562665
3926.9142451595367,8414.396671351053
4000.042826090371,8492.334629395647
4069.327491239016,8572.754445638626
4134.590879696601,8655.655244998226
4195.6501687672335,8741.031669702314
4252.31710402843,8828.87329221559
4304.398076087308,8919.163982992595
4351.694251252643,9011.881231936257
4394.001764054045,9106.995422923414
4431.111980261073,9204.469061367818
4462.811839771067,9304.255955545608
4488.884289424566,9406.300353326727
4509.108816445492,9510.536037057176
4523.262093758125,9616.88538063897
4531.118748865937,9725.258374373094
4532.452268242989,9835.551624879074
4527.036049233764,9947.647339390263
4514.644611221572,10061.412305948215
4495.0549772410495,10176.696883474966
4468.048236202892,10293.334018368088
4433.411294389956,10411.138307106865
4390.938822792278,10529.90512732569
4340.435404094861,10649.409862831086
4281.717879642394,10769.407251014578
4214.617892417485,10889.630883923792
4138.984616940907,11009.79289674939
4054.6876610182744,11129.5838794907
3961.620117438828,11248.673048877681
3636.722116834463,8604.950942123025
3701.996974382356,8678.866217049876
3763.54165537343,8755.00916719666
3821.1946696731343,8833.366766568852
3874.7905560077015,8913.921345611527
3924.16000340757,8996.650075535574
3969.1300191595365,9081.524420320617
4009.5241491539878,9168.50955662814
4045.1627569452257,9257.563762369988
4075.8633682520604,9348.63777528931
4101.441087997245,9441.674123633065
4121.709097298592,9536.606431836608
4136.479238060025,9633.358705110224
4145.562692940638,9731.844597920892
4148.770768474675,9831.96667260349
4145.9157889407315,9933.615655714591
4136.8121081974105,10036.669701252991
4121.277246074174,10140.993671504115
4099.133154987183,10246.4384480005
4070.207621196463,10352.840286900957
4034.335803488962,10460.020234937228
3991.3619100211276,10567.783623909987
3941.14101154899,10675.919663471104
3883.5409862871406,10784.201153530723
3818.444588156373,10892.384338983431
3745.751626207046,11000.208930454864
3665.3812385668407,11107.398315311957
3577.2742394098814,11213.659983132948
3338.677922768275,8786.13556033214
3396.2871150308024,8855.52074873564
3450.318921158995,8926.875394125047
3500.628916684586,9000.176213069673
3547.0700883513678,9075.395320551306
3589.4930210179464,9152.499795702002
3627.7461279406048,9231.451226763542
