x,y,lon,lat,t,V_MAT,V_CVI,V_LOS,V_EOS,V_SOS
3351.1034694392906,9591.556149984532,94.25,70.75,1,14.061603546142578,-2.2408106327056885,-4.447215557098389,-16.160686492919922,-0.11267927289009094
3351.1034694392906,9591.556149984532,94.25,70.75,2,2.2121944427490234,-2.208526611328125,-3.685138702392578,-13.612454414367676,-0.09302783012390137
3351.1034694392906,9591.556149984532,94.25,70.75,3,17.725303649902344,-0.3896685838699341,-1.5879732370376587,-9.922340393066406,-0.29742369055747986
3351.1034694392906,9591.556149984532,94.25,70.75,4,-7.7582268714904785,1.8556333780288696,1.0554531812667847,-5.954594135284424,-0.5263171792030334
3351.1034694392906,9591.556149984532,94.25,70.75,5,-7.8223371505737305,1.6586507558822632,0.025334248319268227,-8.334015846252441,-0.303035169839859
3351.1034694392906,9591.556149984532,94.25,70.75,6,-24.365509033203125,0.6206094622612,-0.42408427596092224,-8.490642547607422,-0.019988613203167915
3351.1034694392906,9591.556149984532,94.25,70.75,7,-24.568302154541016,0.2369563728570938,-0.4243423342704773,-7.380650043487549,0.1138012707233429
3351.1034694392906,9591.556149984532,94.25,70.75,8,-12.099323272705078,-0.5773913860321045,0.37180691957473755,-3.1185383796691895,0.05075268819928169
3351.1034694392906,9591.556149984532,94.25,70.75,9,1.4955326318740845,0.006480509415268898,1.3636586666107178,1.2555489540100098,0.001523010665550828
3351.1034694392906,9591.556149984532,94.25,70.75,10,3.7988269329071045,-2.83945894241333,-2.984635591506958,-0.3878277838230133,0.11356450617313385
3351.1034694392906,9591.556149984532,94.25,70.75,11,4.231082916259766,-8.342607498168945,-11.080903053283691,-8.236113548278809,1.0016506910324097
3351.1034694392906,9591.556149984532,94.25,70.75,12,-0.17302924394607544,-16.443681716918945,-20.384172439575195,-16.489789962768555,3.3128440380096436
3351.1034694392906,9591.556149984532,94.25,70.75,13,14.120001792907715,-20.42420196533203,-27.486406326293945,-21.301496505737305,6.017567157745361
3351.1034694392906,9591.556149984532,94.25,70.75,14,-1.2836955785751343,-20.32152557373047,-29.906696319580078,-23.652965545654297,8.350948333740234
3351.1034694392906,9591.556149984532,94.25,70.75,15,13.892261505126953,-18.047346115112305,-31.421846389770508,-28.135116577148437,10.75266170501709
3351.1034694392906,9591.556149984532,94.25,70.75,16,-14.98577880859375,-15.310887336730957,-25.82464599609375,-30.779191970825195,10.923588752746582
3351.1034694392906,9591.556149984532,94.25,70.75,17,-16.073251724243164,-11.168620109558105,-16.48001480102539,-26.699052810668945,9.907330513000488
3351.1034694392906,9591.556149984532,94.25,70.75,18,-32.58492660522461,-6.217432975769043,-7.321961402893066,-17.124496459960937,7.039831161499023
3351.1034694392906,9591.556149984532,94.25,70.75,19,-25.17756462097168,-0.45953431725502014,-1.6988941431045532,-4.5532989501953125,3.684579610824585
3351.1034694392906,9591.556149984532,94.25,70.75,20,-23.756122589111328,5.662789821624756,0.3437294065952301,6.0159101486206055,0.05189468339085579
3351.1034694392906,9591.556149984532,94.25,70.75,21,-14.775876998901367,7.9258341789245605,0.7070567011833191,8.43356990814209,-1.527797818183899
3351.1034694392906,9591.556149984532,94.25,70.75,22,-36.61470031738281,7.024836540222168,0.6760205030441284,4.178328037261963,-1.7174906730651855
3351.1034694392906,9591.556149984532,94.25,70.75,23,-37.4210090637207,4.355381965637207,0.08143659681081772,0.23871922492980957,-0.21348632872104645
3351.1034694392906,9591.556149984532,94.25,70.75,24,-32.10065460205078,1.9262752532958984,0.032635655254125595,2.320937395095825,0.3608367145061493
3351.1034694392906,9591.556149984532,94.25,70.75,25,-8.192980766296387,0.7107278108596802,0.22404339909553528,8.339276313781738,1.2383418083190918
5053.609244131693,10081.219404067095,114.25,61.25,1,19.70097541809082,0.9520769119262695,4.62204647064209,11.547722816467285,-0.7479108572006226
5053.609244131693,10081.219404067095,114.25,61.25,2,24.398006439208984,3.6001782417297363,8.729559898376465,20.06142807006836,2.370738983154297
5053.609244131693,10081.219404067095,114.25,61.25,3,25.964540481567383,4.111217021942139,8.763933181762695,35.1372184753418,2.6410770416259766
5053.609244131693,10081.219404067095,114.25,61.25,4,47.19130325317383,3.5430305004119873,7.873293876647949,54.22058868408203,1.3856326341629028
5053.609244131693,10081.219404067095,114.25,61.25,5,23.517000198364258,2.496530771255493,5.730106830596924,64.3253173828125,-0.3416481614112854
5053.609244131693,10081.219404067095,114.25,61.25,6,19.90045738220215,2.59021258354187,3.5778863430023193,83.06886291503906,-1.9286283254623413
5053.609244131693,10081.219404067095,114.25,61.25,7,14.527161598205566,4.601979732513428,3.79723858833313,80.50800323486328,-1.3513083457946777
5053.609244131693,10081.219404067095,114.25,61.25,8,-9.226875305175781,6.200127124786377,2.151982069015503,66.62174987792969,-1.5567381381988525
5053.609244131693,10081.219404067095,114.25,61.25,9,-16.606042861938477,6.998898983001709,-0.18469393253326416,34.57483673095703,-1.391100525856018
5053.609244131693,10081.219404067095,114.25,61.25,10,-23.28205108642578,7.2209858894348145,0.966962993144989,-1.1632511615753174,1.728845238685608
5053.609244131693,10081.219404067095,114.25,61.25,11,-31.578950881958008,8.385970115661621,4.2303853034973145,-8.639801979064941,6.54111909866333
5053.609244131693,10081.219404067095,114.25,61.25,12,-35.00816345214844,10.88742446899414,14.094138145446777,7.518335342407227,14.468121528625488
5053.609244131693,10081.219404067095,114.25,61.25,13,-15.212796211242676,11.920388221740723,19.04245948791504,12.199000358581543,19.61077117919922
5053.609244131693,10081.219404067095,114.25,61.25,14,10.193487167358398,10.152289390563965,18.79775619506836,8.13733196258545,21.443031311035156
